seal_id,raw_sequence,role_string,seq_len,core1,core2,position_core1,rel_position,left_role,right_role,has_title,has_rel,has_boundary,structural_class,verdict,confidence,verdict_reason,motif,site,interpretation
seal_26,M233 M219 M158 M342,END CORE CORE END,4,M219,M158,1,0.333,END,END,False,False,False,BARE_JUXTAPOSITION,PROBABLE_COMPOUND,HIGH,"No title, no REL, flanked by END markers — genuine juxtaposition compound",unicorn,Mohenjo-daro,HEADLESS
seal_55,M062 M131 M165 M328 M048,START CORE CORE END END,5,M131,M165,1,0.25,START,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",unicorn,Mohenjo-daro,COMPOUND_ENTITY
seal_58,M391 M380 M116 M089,END CORE CORE END,4,M380,M116,1,0.333,END,END,False,False,False,BARE_JUXTAPOSITION,PROBABLE_COMPOUND,HIGH,"No title, no REL, flanked by END markers — genuine juxtaposition compound",unicorn,Mohenjo-daro,HEADLESS
seal_67,M005 M326 M133 M318 M328 M099,START CORE CORE CORE END END,6,M326,M133,1,0.2,START,CORE,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",zebu bull,Mohenjo-daro,COMPOUND_ENTITY
seal_67,M005 M326 M133 M318 M328 M099,START CORE CORE CORE END END,6,M133,M318,2,0.4,CORE,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",zebu bull,Mohenjo-daro,COMPOUND_ENTITY
seal_99,M099 M134 M201 M233,END CORE CORE END,4,M134,M201,1,0.333,END,END,False,False,False,BARE_JUXTAPOSITION,PROBABLE_COMPOUND,HIGH,"No title, no REL, flanked by END markers — genuine juxtaposition compound",tiger,Mohenjo-daro,HEADLESS
seal_104,M066 M135 M297 M087 M267,START CORE CORE END END,5,M135,M297,1,0.25,START,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",unicorn,Mohenjo-daro,COMPOUND_ENTITY
seal_133,M068 M203 M350 M367,START CORE CORE END,4,M203,M350,1,0.333,START,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",tiger,Harappa,COMPOUND_ENTITY
seal_145,M063 M211 M323 M303 M065,START END CORE CORE END,5,M323,M303,2,0.5,END,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",script only,Kalibangan,COMPOUND_ENTITY
seal_146,M065 M099 M406 M105 M125,END END CORE CORE BOUNDARY,5,M406,M105,2,0.5,END,BOUNDARY,False,False,True,BARE_JUXTAPOSITION,POSSIBLE_COMPOUND,MEDIUM,"No title, no REL — unusual flanking role pattern",elephant,Harappa,HEADLESS
seal_152,M009 M146 M195 M089,START CORE CORE END,4,M146,M195,1,0.333,START,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",unicorn,Harappa,COMPOUND_ENTITY
seal_165,M042 M162 M367 M339 M309 M211 M051,START END END CORE CORE END END,7,M339,M309,3,0.5,END,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",unicorn,Mohenjo-daro,COMPOUND_ENTITY
seal_167,M045 M328 M101 M108 M162,START END CORE CORE END,5,M101,M108,2,0.5,END,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",unicorn,Harappa,COMPOUND_ENTITY
seal_175,M089 M267 M359 M370 M012,END END CORE CORE END,5,M359,M370,2,0.5,END,END,False,False,False,BARE_JUXTAPOSITION,PROBABLE_COMPOUND,HIGH,"No title, no REL, flanked by END markers — genuine juxtaposition compound",unicorn,Harappa,HEADLESS
seal_179,M011 M251 M124 M089,START CORE CORE END,4,M251,M124,1,0.333,START,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",unicorn,Mohenjo-daro,COMPOUND_ENTITY
seal_215,M036 M307 M167 M391 M087,START CORE CORE END END,5,M307,M167,1,0.25,START,END,True,False,False,TITLE_NO_REL,ANNOTATION_CANDIDATE,HIGH,"Title present, no relational bridge — second CORE likely mislabelled suffix/END",tiger,Mohenjo-daro,COMPOUND_ENTITY
